,LU1387591305,,2022-06-27,36.73
,LU1387591305,,2022-06-28,36.72
,LU1387591305,,2022-06-29,35.84
,LU1387591305,,2022-06-30,35.13
,LU1387591305,,2022-07-01,35.59
,LU1387591305,,2022-07-01,35.59
,LU1387591305,,2022-07-01,35.59
,LU1387591305,,2022-07-04,35.34
,LU1387591305,,2022-07-05,35.14
,LU1387591305,,2022-07-06,36.62
,LU1387591305,,2022-07-07,36.95
,LU1387591305,,2022-07-08,36.77
,LU1387591305,,2022-07-08,36.77
,LU1387591305,,2022-07-08,36.77
,LU1387591305,,2022-07-11,36.57
,LU1387591305,,2022-07-12,36.36
,LU1387591305,,2022-07-13,36.03
,LU1387591305,,2022-07-14,35.93
